content,Sentiment
"@moviemenfes Aku dulu nnton cuplikan yg di kkn desa penari extended version, trs aku ngajak suamiku buat nnton fullnya dia gamau. Gara2 dlu aja di cuplikan sering ngagetin krn sound effect-nya terlalu kenceng 😂",positive
"/mvs/ abis nonton sewu dino, menurutku worth to watch, standar lah. Tp kali di compare sama kkn, sewu dino jauh bgt better dari kkn desa penari",positive
"Last year, despite it's shortcomings, #kkndesapenari was quite enjoyable. 

But my favorite was @MuhadklyAcho's Gara-Gara Warisan.",positive
"Wow, better than Penari Desa KKN ya?",positive
"Wabil akhir, Sewu Dino jelas slightly better than KKN di Desa Penari.

Meskipun seharusnya masih bisa diimprove lebih.

🙏",positive
Yg ini better dari KKN Desa Penari sih wkwkwkw,positive
"@siskanoviw Aku belum baca tapi niat mau baca kalau bener true story.

Kalau ujungnya diangkat ke film kayak thread kkn desa penari, fix fiktif.",positive
"Film2 di Jatim, yg lumayan oke sih Yowes Ben. Lainnya, kayak KKN Desa Penari, hemmm… disappointed :)",negative
"@viorellie @figmentofminds jadi ada org dimasukin arwah gitu buat jd penari di desanya. nah terus ada yg kkn ke desa itu, salah satu orgnya ngapa-ngapain si cewe ini, eh arwahnya pindah nyari target baru yang perawan buat jd wadah :(",negative
"@oreomisme berarti gak ada bagian joroknya, kayak tubuh gak full bisul bernanah?
Menurutmu lebih ok sewu dino atau kkn desa penari?",positive
"@manizgendhis bingung jelasinnya😭 yg jelas alurnya rapi, ga bingungin. serem, degdegan, gregetan, plot twist ada semuaa. so much better than kkn desa penari pokoknyaa",positive
